Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
中華民國死刑制度_zh.wikipedia.org_all-access_spider,23,6,3,6,18,8,6,7,12,15,8,12,13,12,4,5,7,16,14,10,5,4,9,8,6,13,6,12,5,6,3,8,1,5,6,5,6,3,3,9,3,2,0,3,6,3,5,8,3,10,2,2,4,4,3,3,16,3,6,2,3,6,17,12,6,6,7,3,6,5,6,2,5,4,2,4,5,12,9,2,5,3,13,7,6,3,8,6,8,3,6,4,9,6,11,12,5,11,4,5,6,6,2,5,8,5,20,5,10,5,5,4,12,58,5,10,4,5,7,4,4,8,6,5,6,3,4,6,5,9,8,5,1,6,56,17,3,11,4,6,6,8,5,7,6,10,7,4,9,8,14,29,9,11,7,5,10,8,13,9,4,12,7,14,9,22,5,5,4,7,3,50,3,5,3,32,5,6,12,7,9,9,2,4,6,8,7,13,10,13,10,7,11,14,6,12,12,10,12,13,4,14,3,5,9,9,8,10,9,17,5,12,6,10,12,5,1,6,6,10,9,10,10,6,11,3,8,7,5,5,4,16,18,17,2,8,11,9,9,5,9,30,6,8,11,10,8,10,8,18,11,11,5,5
王欣逸_zh.wikipedia.org_all-access_spider,4,6,3,2,5,5,3,7,9,7,5,6,4,11,4,5,2,5,3,3,4,7,5,8,4,4,0,1,9,2,2,2,9,3,7,5,7,2,1,4,0,3,6,2,5,1,2,5,4,5,3,2,4,5,2,3,3,6,3,1,3,3,5,5,1,1,3,3,3,7,6,3,0,2,10,6,4,4,0,4,6,5,6,8,2,2,2,12,10,10,2,0,10,10,3,4,4,1,4,8,1,7,2,0,8,11,7,2,11,3,4,3,4,4,2,8,3,4,6,3,2,6,5,0,7,4,2,4,2,9,1,1,3,4,5,4,2,6,2,6,3,2,4,4,7,6,9,7,8,8,6,6,3,3,1,3,8,9,5,1,6,1,4,6,4,7,26,6,5,1,3,4,4,1,2,4,3,2,11,3,1,3,12,6,5,8,11,7,5,7,3,19,16,4,40,4,7,7,7,6,11,6,5,11,8,12,10,10,13,8,8,7,9,5,3,7,10,7,5,8,8,19,7,4,9,13,4,3,4,4,7,4,8,2,5,7,6,10,7,6,5,9,14,111,9,10,5,9,10,10,5,9,29,4
奈及利亞_zh.wikipedia.org_all-access_spider,28,15,22,19,27,15,41,101,40,27,20,23,34,19,20,30,35,18,43,18,9,14,11,15,11,8,12,17,13,10,9,138,6,8,15,11,16,14,18,21,15,15,8,13,18,12,25,18,16,11,16,10,19,8,7,13,5,8,11,12,11,9,19,16,15,9,16,8,18,14,25,24,23,14,5,12,6,15,16,16,19,12,19,17,14,15,14,14,18,16,17,11,24,21,22,11,13,23,10,10,7,19,16,12,9,13,10,12,17,20,11,12,15,16,21,19,19,15,18,25,10,5,11,16,23,14,12,13,8,14,16,7,12,19,7,13,18,23,74,14,9,18,16,17,54,19,15,15,18,17,11,16,22,19,30,18,13,15,16,12,13,8,25,22,21,17,20,18,16,35,13,32,17,21,18,15,16,22,23,14,21,14,27,15,8,17,15,21,10,16,21,19,21,15,19,14,10,23,15,23,21,20,25,10,19,13,17,15,14,13,21,32,33,8,14,134,36,29,26,13,18,24,13,11,14,27,23,22,19,19,46,30,17,14,14,19,11,16,109,95,18,22,20,14,29,18,18,32,21,19,15,26,20,17
嘉利大廈大火_zh.wikipedia.org_all-access_spider,2,3,16,11,6,1,0,3,4,5,1,5,2,10,2,3,5,12,9,3,2,6,10,5,5,3,2,2,1,6,1,4,5,4,1,4,1,1,1,3,3,2,3,3,4,5,4,3,4,5,7,2,2,2,1,4,0,2,3,4,5,6,3,7,1,3,7,3,2,5,0,5,2,5,2,1,3,20,4,4,1,5,7,2,5,1,3,6,3,3,2,7,4,1,1,4,4,1,4,6,3,6,2,2,6,5,5,8,2,5,5,0,2,4,4,5,3,5,7,8,6,1,5,2,6,4,8,6,5,2,4,3,2,2,6,3,4,5,4,2,5,4,7,9,4,3,4,5,4,5,7,2,1,4,4,3,11,17,20,5,9,6,4,4,4,5,7,1,10,6,3,5,5,6,4,1,6,5,5,5,2,8,5,7,9,6,3,9,16,17,17,15,13,30,13,11,14,11,9,14,11,7,3,7,11,9,7,10,10,6,8,14,7,3,7,6,6,4,1,6,6,6,8,5,9,8,3,6,6,4,4,7,11,9,2,4,7,7,13,5,11,8,10,10,9,7,5,10,11,9,13,15,5,5
提帮功王子_zh.wikipedia.org_all-access_spider,1,0,1,2,2,1,0,2,4,1,2,3,2,0,1,1,2,3,0,0,2,2,8,1,2,3,2,1,0,2,2,1,5,3,2,0,1,1,0,1,1,3,2,4,1,2,2,5,5,1,4,2,3,2,1,4,2,1,2,1,0,7,0,1,0,0,0,1,1,1,6,4,0,10,1,3,3,2,1,4,0,0,0,0,2,0,7,2,2,0,4,1,2,3,0,0,2,0,0,1,0,0,1,1,1,2,3,3,0,1,2,5,4,3,1,1,0,1,2,1,1,1,5,0,1,2,0,0,1,0,3,5,1,1,0,0,0,1,6,0,1,3,0,1,2,2,1,5,1,1,2,0,0,3,0,0,0,2,6,4,3,2,2,1,3,3,1,0,3,0,2,0,1,0,1,1,0,0,0,3,1,3,6,0,1,1,0,1,2,1,2,1,1,1,1,3,3,2,2,3,6,6,1,6,4,4,4,6,4,2,5,0,1,3,2,1,5,3,4,1,3,3,2,4,2,4,2,1,0,3,0,9,2,4,1,5,4,4,7,5,5,6,3,4,2,4,2,2,8,3,3,1,7,3
胡歌_zh.wikipedia.org_all-access_spider,11,81,23,27,43,17,14,5,4,16,21,4,9,31,17,3,5,13,82,49,7,11,13,13,12,10,4,10,16,2,10,3,10,11,12,9,7,4,11,9,13,8,6,7,3,16,5,0,7,6,4,5,8,10,10,5,5,8,2,2,6,16,18,5,6,5,9,12,2,5,1,14,5,26,4,4,7,19,29,12,5,29,6,17,18,7,17,12,26,15,47,11,19,15,19,11,20,18,19,33,13,15,19,10,13,13,24,18,23,157,81,80,74,18,23,22,18,22,73,31,30,14,42,16,17,22,135,92,61,31,74,22,20,21,15,27,28,28,16,19,84,144,40,19,29,16,16,18,31,24,13,21,42,21,64,21,24,67,45,24,50,33,31,24,31,41,25,74,32,132,170,84,73,59,22,26,27,17,36,17,77,71,60,36,74,34,109,40,52,47,91,98,33,54,52,45,58,46,135,54,82,31,42,63,42,22,53,36,22,35,35,58,48,35,26,25,37,40,33,37,43,24,29,24,31,61,22,30,38,70,16,19,18,74,161,87,35,37,26,75,37,50,35,39,42,16,29,38,24,18,32,131,22,63
蔡依林_zh.wikipedia.org_all-access_spider,43,44,30,14,14,30,19,16,35,20,18,29,27,27,14,17,5,9,25,27,8,11,10,8,42,9,12,12,16,17,16,7,7,6,9,11,7,21,6,5,11,62,20,6,53,11,12,13,7,50,10,17,7,6,14,45,42,15,7,47,10,25,6,21,11,15,16,9,22,17,9,3,7,4,9,4,18,139,36,31,32,147,39,20,16,15,16,81,31,85,115,32,24,44,23,16,18,11,11,10,18,69,25,11,70,12,11,19,41,101,71,9,11,11,13,28,26,81,18,28,36,69,33,27,11,77,78,29,16,12,11,21,20,98,137,119,15,6,18,16,27,40,18,35,18,40,68,22,34,32,12,31,12,12,59,142,171,114,51,63,38,220,30,38,25,13,42,41,19,17,21,32,19,15,24,24,66,16,47,14,24,18,27,17,17,23,20,18,38,55,26,33,29,30,38,21,29,42,30,21,17,23,29,25,22,28,63,22,67,16,9,23,17,19,20,61,16,22,14,126,25,34,18,60,21,18,23,18,40,9,26,88,36,26,18,18,16,17,19,16,41,52,90,18,16,19,23,17,54,22,18,18,25,21
劉在錫_zh.wikipedia.org_all-access_spider,3,6,14,56,24,5,46,12,5,7,22,3,8,14,6,111,6,19,3,81,36,6,9,5,5,4,10,5,11,5,1,4,6,34,5,16,7,39,46,11,10,7,5,8,83,3,5,42,10,10,2,5,18,22,88,41,3,11,5,65,7,8,28,9,13,7,6,5,6,28,22,1,5,36,6,3,7,7,6,12,32,36,5,7,5,5,8,7,12,4,4,25,35,8,7,16,5,7,23,8,12,8,24,3,11,5,9,6,8,6,10,17,19,7,12,9,4,22,8,5,5,6,3,12,8,62,9,11,5,4,12,7,8,5,3,6,61,3,53,22,15,52,15,85,135,73,34,87,63,62,29,40,8,95,14,8,43,40,10,11,8,8,9,9,15,6,21,11,36,11,5,9,5,20,11,8,17,9,6,35,17,31,113,22,30,8,30,41,24,23,17,12,24,32,70,20,21,19,14,18,17,12,13,14,20,21,15,11,22,10,8,24,17,31,28,18,14,8,10,10,9,5,11,13,8,11,13,22,19,4,13,17,16,15,6,15,7,8,14,9,12,13,14,11,12,13,25,10,18,38,13,10,7,11
蕭敬騰_zh.wikipedia.org_all-access_spider,29,6,23,39,23,12,15,20,62,17,23,11,14,19,53,17,23,6,16,21,5,8,9,12,12,7,12,11,11,6,2,12,8,27,18,5,4,7,4,8,15,9,4,4,3,3,7,6,18,6,4,12,2,3,7,7,13,7,9,12,5,10,7,7,6,10,4,11,9,12,7,17,8,13,6,4,6,8,10,13,7,8,14,10,15,11,13,11,17,7,11,33,13,8,11,12,19,11,10,10,15,4,45,22,10,12,5,70,7,11,9,9,8,6,10,9,37,20,9,10,4,9,19,36,8,21,6,10,12,13,12,11,8,10,14,16,5,11,16,15,47,35,29,14,34,93,17,17,22,15,15,21,20,13,13,12,9,7,11,11,12,3,10,70,19,28,10,23,18,39,22,17,22,14,10,23,12,6,9,23,18,8,17,26,14,12,16,24,17,26,17,11,13,27,23,15,17,12,9,11,21,13,11,16,11,22,16,28,22,51,23,17,25,9,65,12,17,15,30,18,18,20,14,11,5,10,11,19,14,15,12,14,17,13,13,17,17,12,9,14,76,27,18,14,12,36,20,26,17,14,18,31,5,8
JULIA_(AV女優)_zh.wikipedia.org_all-access_spider,4,5,3,10,10,2,6,3,5,10,6,3,13,3,2,6,8,3,3,1,5,13,8,5,8,8,3,8,7,1,2,8,2,11,3,8,3,5,9,6,9,8,7,8,1,11,4,9,7,3,9,5,12,5,6,3,4,9,9,10,10,2,2,3,9,16,15,10,6,15,6,6,7,8,7,28,61,18,35,23,22,24,16,19,22,21,19,15,13,7,13,5,19,13,8,13,9,14,6,7,9,4,8,12,8,11,8,6,13,12,13,7,11,7,10,21,6,16,6,9,7,9,9,14,9,13,13,15,11,19,11,10,6,9,16,6,11,15,2,3,20,15,9,19,14,17,19,6,12,6,18,14,10,7,12,9,13,10,13,12,8,7,10,13,7,12,10,15,10,9,14,9,18,13,15,15,7,18,13,4,11,4,9,19,9,10,11,14,14,6,8,15,15,17,17,20,15,22,20,19,12,12,17,17,13,19,20,19,15,20,33,27,21,14,21,14,12,18,15,17,16,7,11,12,7,16,9,6,13,8,23,30,18,9,14,14,18,19,20,7,18,25,21,52,15,9,11,9,21,8,17,5,15,14
伊能靜_zh.wikipedia.org_all-access_spider,9,19,7,24,11,7,8,11,74,11,24,9,27,14,19,9,5,10,35,15,20,36,12,4,3,3,13,6,13,11,5,3,1,16,11,4,9,4,6,3,11,8,5,5,12,55,5,3,8,8,4,8,3,7,5,1,4,9,9,11,3,17,4,8,9,12,11,6,10,3,7,6,7,7,6,6,9,10,7,9,8,12,8,11,13,10,9,19,20,5,12,9,10,7,12,9,6,18,7,15,6,6,3,2,13,8,43,5,11,5,8,5,14,5,14,5,6,7,12,8,5,7,3,7,12,7,1,11,10,11,12,5,5,38,4,7,4,7,7,6,4,10,6,8,12,10,12,6,6,13,12,8,5,14,8,16,5,12,11,6,7,6,5,13,8,6,4,5,10,4,10,11,4,6,10,8,6,8,6,3,9,7,7,10,25,17,7,11,13,8,13,9,5,8,11,8,14,22,14,19,17,7,12,14,9,7,4,12,36,11,13,8,15,10,7,11,11,10,5,2,14,7,23,10,6,7,5,9,12,19,14,10,105,20,12,11,9,10,11,13,24,7,17,11,7,5,11,16,8,21,14,64,8,6
高麗光宗_zh.wikipedia.org_all-access_spider,1,6,1,1,2,1,4,5,3,1,2,9,6,10,3,4,1,7,5,1,12,4,9,6,3,2,2,3,3,2,1,2,0,3,7,2,2,3,3,7,5,3,2,4,4,5,2,4,7,0,4,1,1,2,3,3,3,6,5,4,0,6,2,3,5,4,2,3,4,3,3,0,4,1,4,3,2,5,3,7,2,2,3,4,5,4,5,5,8,7,3,5,2,4,4,3,3,2,2,4,4,7,2,1,2,3,6,4,3,7,4,9,3,6,2,6,5,1,5,2,1,3,0,5,8,4,4,1,9,1,3,2,2,136,56,8,9,12,0,10,3,9,8,8,7,5,3,2,5,4,3,10,1,6,7,3,3,3,5,7,2,1,3,1,6,5,3,2,2,3,2,2,5,4,5,1,1,2,6,5,2,5,4,1,7,0,1,3,4,2,7,9,4,6,8,3,5,9,6,3,9,6,5,3,7,5,7,12,9,9,5,13,10,6,4,5,6,1,7,6,8,6,2,4,8,0,6,3,3,6,6,10,4,5,19,4,2,3,1,7,6,6,4,3,3,2,5,4,9,10,10,5,2,9
中華民國海軍_zh.wikipedia.org_all-access_spider,29,6,56,13,18,7,11,6,12,22,15,8,22,14,12,10,9,9,12,13,7,10,14,6,10,7,3,38,23,7,5,8,10,9,7,5,7,9,3,10,12,10,3,2,4,3,11,11,8,3,1,54,2,7,12,7,11,7,4,8,9,5,21,10,8,8,5,5,7,7,58,45,4,12,4,6,9,11,18,15,15,11,18,11,14,5,13,15,31,16,14,22,8,21,42,24,8,13,16,8,11,52,18,14,20,15,23,30,450,171,322,42,28,17,22,83,94,47,21,30,26,83,10,14,20,26,15,23,18,11,14,8,17,24,23,35,3,6,166,16,5,7,33,20,34,17,24,140,11,14,27,19,238,14,32,25,16,22,22,8,18,57,41,14,132,12,11,29,47,21,46,15,12,17,12,14,31,8,15,11,15,13,21,20,15,18,21,23,17,11,11,14,34,17,32,60,53,16,49,81,63,22,19,32,46,33,24,42,31,78,20,16,19,21,23,19,21,18,32,20,18,17,8,20,15,33,17,10,14,60,10,19,13,26,13,24,18,14,24,18,22,29,20,59,23,18,19,26,44,17,46,19,10,8
龔嘉欣_zh.wikipedia.org_all-access_spider,32,6,16,25,21,9,36,71,82,18,19,18,19,23,23,32,10,12,26,14,11,11,11,6,9,10,6,6,8,17,10,4,7,7,6,4,12,2,11,8,8,8,8,10,7,16,9,6,4,6,19,6,7,3,11,3,8,7,3,11,9,4,3,8,14,5,15,13,8,9,14,3,3,21,7,4,8,4,8,7,12,24,8,50,6,13,20,40,23,38,25,27,16,4,37,11,6,7,4,19,29,22,8,10,14,4,21,5,5,3,4,15,31,6,18,58,6,5,18,3,5,20,6,5,25,3,4,25,8,6,6,7,6,5,5,35,24,5,10,5,4,7,5,4,7,6,5,10,11,43,8,7,4,4,3,6,10,31,6,4,6,4,12,9,9,9,11,9,9,4,12,11,11,19,14,38,10,9,11,6,13,9,15,12,5,25,14,10,12,6,10,12,16,31,16,3,15,14,10,21,18,9,12,3,6,12,18,10,15,16,30,14,8,13,11,7,8,16,5,5,8,8,4,5,10,11,16,13,15,9,19,27,7,5,5,6,12,22,11,7,9,15,21,8,9,7,20,10,10,8,13,5,8,5
八惡人_zh.wikipedia.org_all-access_spider,1,0,7,2,5,21,1,4,3,2,1,2,38,1,3,10,1,3,4,1,3,10,3,2,2,3,2,87,4,1,1,1,3,1,6,1,0,4,1,5,2,2,4,29,3,1,5,4,2,4,7,2,0,3,1,15,6,3,3,2,3,4,0,3,12,4,3,5,6,3,1,10,1,2,3,4,1,8,2,5,4,3,8,2,4,1,2,3,5,0,3,9,5,9,4,5,1,3,2,1,7,8,3,1,3,5,6,4,4,2,4,3,5,4,3,6,5,0,6,1,7,4,5,4,7,9,2,17,11,6,8,8,0,6,6,1,1,2,8,1,2,3,4,1,2,21,3,6,21,2,6,1,1,11,5,3,84,5,4,4,3,4,21,55,15,4,6,28,1,13,2,7,9,4,17,30,11,13,28,33,54,18,20,36,24,17,23,20,24,16,18,18,28,15,20,48,13,11,36,20,26,6,4,14,40,13,18,10,17,17,9,22,14,19,21,8,13,25,10,12,12,10,9,32,14,12,18,13,21,19,8,17,9,11,10,16,24,21,105,14,15,15,18,61,17,9,9,88,17,29,15,29,84,18
王少偉_zh.wikipedia.org_all-access_spider,13,5,5,11,3,9,8,5,38,7,7,7,2,9,11,11,5,5,5,2,3,10,5,1,4,1,1,1,11,5,3,3,5,3,1,4,4,2,3,2,4,4,3,0,3,2,4,4,6,6,1,1,5,1,7,6,4,14,3,1,0,1,3,5,4,3,5,5,2,6,4,23,2,1,2,7,8,7,11,1,5,3,5,4,5,5,2,9,5,2,10,4,2,8,8,4,5,2,3,10,7,2,5,2,5,3,4,2,5,7,4,2,6,5,7,3,6,3,2,4,6,3,9,10,1,4,4,3,1,3,9,4,0,5,5,4,1,3,8,3,5,6,1,3,15,5,11,13,10,6,1,8,3,3,6,3,3,7,5,5,6,2,6,4,7,3,5,4,4,8,0,9,7,6,5,4,3,3,18,5,4,7,7,8,3,3,8,5,5,6,2,10,10,7,5,7,10,5,6,6,5,14,7,5,4,11,7,7,6,6,6,18,12,4,11,9,9,6,4,4,12,5,4,6,5,15,3,6,2,3,15,7,5,2,4,7,3,5,5,2,2,12,13,8,7,10,3,6,8,5,7,5,7,5
李國毅_zh.wikipedia.org_all-access_spider,2,9,7,10,6,6,6,8,32,18,10,7,43,21,14,7,11,10,24,22,10,9,6,11,3,3,1,8,7,5,8,9,3,17,7,5,56,19,47,64,6,4,32,4,16,10,42,8,4,10,5,17,10,11,19,4,6,16,18,6,7,3,1,13,5,40,4,4,6,6,124,12,17,12,8,6,11,14,6,25,10,10,7,10,9,5,9,9,9,3,9,6,15,10,12,5,7,8,6,3,10,3,5,6,7,11,6,7,8,3,4,11,28,5,9,14,16,5,9,9,18,3,6,3,9,5,10,9,8,5,10,4,6,5,1,8,5,9,7,4,2,9,15,11,5,9,15,12,14,9,14,11,4,9,8,3,5,5,27,64,10,4,6,14,32,25,4,3,11,8,7,10,7,18,5,10,5,12,11,8,9,6,15,8,20,10,11,6,15,22,14,31,19,25,26,12,17,9,18,18,11,29,19,23,7,13,25,11,26,12,23,36,11,85,16,41,50,24,5,16,9,13,6,9,19,13,9,10,11,11,12,10,12,18,24,18,8,42,7,12,9,9,15,12,16,12,15,15,12,10,21,12,10,6
黑白_(電影)_zh.wikipedia.org_all-access_spider,2,1,1,1,8,3,13,7,11,12,7,8,1,10,2,4,10,4,6,1,6,7,7,7,3,8,1,4,5,2,4,1,6,1,1,3,4,0,1,2,1,4,6,7,7,1,4,3,3,4,1,11,3,2,5,2,2,1,2,24,1,4,4,1,0,3,4,0,4,4,1,5,4,0,0,2,2,1,0,1,2,3,1,3,1,4,0,7,3,1,8,4,1,2,5,2,3,0,1,1,2,2,4,1,3,3,0,2,2,2,0,1,2,3,0,0,2,1,2,17,0,2,2,1,1,0,3,2,0,0,2,0,0,1,1,3,1,0,2,1,1,1,3,0,1,1,1,0,3,3,0,0,2,2,16,4,4,4,3,3,8,1,2,2,4,1,1,3,0,55,1,2,0,3,1,2,2,2,1,0,2,4,20,4,2,2,5,6,3,2,4,2,2,3,7,1,5,6,4,4,11,1,7,5,16,6,5,5,9,8,19,6,6,9,4,4,6,17,6,6,9,4,6,1,5,10,5,3,6,7,5,11,7,5,1,9,9,8,12,2,7,14,16,7,12,5,2,10,8,7,7,6,4,2
蔡頤榛_zh.wikipedia.org_all-access_spider,5,8,7,2,2,3,5,18,6,10,3,5,16,10,15,5,2,11,5,1,4,5,6,2,19,6,4,2,16,4,4,5,2,12,10,6,6,2,2,3,1,17,4,4,8,1,22,2,1,11,1,6,5,25,11,6,9,46,4,2,14,8,5,3,12,0,6,2,12,10,2,3,5,11,2,6,6,10,1,5,3,3,14,5,13,3,6,40,4,12,11,4,10,18,8,59,96,4,6,5,5,7,2,5,3,7,8,7,4,4,16,7,4,6,6,7,5,5,5,4,3,3,21,6,1,1,3,9,4,18,3,4,11,4,3,6,2,11,6,2,2,8,3,6,3,7,9,4,6,4,3,7,5,3,10,5,3,3,9,16,2,3,8,2,7,8,18,13,7,1,9,5,4,2,9,1,6,10,10,2,3,7,2,9,7,4,8,6,11,8,17,3,9,5,7,4,10,6,31,2,12,7,14,7,10,6,13,13,19,13,1,17,6,5,4,12,27,14,11,19,5,11,6,4,4,5,3,4,4,3,8,8,23,7,6,10,5,6,6,17,19,10,6,14,9,10,8,9,10,6,7,10,2,4
曾鈺成_zh.wikipedia.org_all-access_spider,80,23,15,13,35,11,51,46,75,17,22,15,21,19,27,7,19,17,9,12,25,12,9,12,4,6,13,9,17,8,11,4,6,8,10,5,10,6,5,7,9,4,6,11,14,6,22,9,11,8,9,8,15,9,7,5,6,7,7,5,17,5,11,8,6,7,9,3,13,10,3,11,6,8,3,5,6,8,8,3,9,14,6,9,6,11,10,7,13,7,5,11,18,8,8,8,12,8,6,8,8,6,9,5,7,4,13,3,6,7,4,2,5,7,11,16,10,4,13,7,5,7,5,6,4,4,7,4,5,4,10,7,5,13,8,15,8,2,6,0,7,14,7,11,8,8,71,10,15,18,10,9,9,9,18,8,10,16,5,7,8,16,13,10,13,14,8,10,9,4,16,14,10,8,10,6,13,12,11,4,8,5,15,17,10,8,6,8,11,6,7,9,9,11,11,4,11,9,3,10,12,10,13,6,12,11,10,15,12,8,9,14,7,10,7,12,11,21,8,8,11,6,9,9,16,16,9,6,17,7,11,15,8,10,15,14,12,11,19,11,9,11,18,10,11,16,15,16,10,16,14,10,13,12
花樣姐姐_zh.wikipedia.org_all-access_spider,2,6,14,3,3,7,2,6,6,8,20,2,3,9,8,3,6,6,3,5,7,12,10,2,5,48,2,1,3,4,2,2,7,6,2,5,2,2,4,5,7,8,2,4,2,2,5,8,2,2,6,4,3,5,0,3,5,2,3,8,5,5,1,3,8,7,3,4,2,1,1,1,2,5,1,2,3,7,4,9,4,5,5,8,2,2,2,5,4,7,6,2,5,18,4,9,4,4,6,4,6,2,6,5,2,7,3,7,9,2,7,4,1,6,4,6,4,3,5,2,4,5,4,5,1,4,2,4,6,5,6,1,1,12,4,1,6,4,1,6,4,5,0,6,5,2,1,2,5,2,6,3,5,6,5,6,7,13,3,5,4,5,5,9,17,11,3,11,5,5,14,4,3,3,6,13,4,3,7,11,6,4,2,6,1,14,4,6,7,7,0,11,6,4,4,4,7,9,8,9,4,5,11,5,10,5,7,9,7,7,5,14,7,5,6,5,4,10,7,3,4,1,6,5,5,4,4,7,5,3,3,11,13,7,7,20,8,11,13,10,9,5,9,7,8,7,6,8,14,2,6,4,6,3
最佳國語女歌手獎_(金曲獎)_zh.wikipedia.org_all-access_spider,13,9,3,15,68,10,5,9,5,12,4,2,7,17,17,2,23,4,4,4,2,8,11,5,0,2,4,2,8,6,5,4,3,8,2,3,2,6,4,3,3,8,5,1,5,5,1,4,5,6,2,2,4,3,4,5,2,4,10,7,4,2,2,4,6,10,7,2,3,3,3,7,2,4,6,4,2,4,10,5,3,5,4,6,8,9,2,6,8,3,15,3,4,2,6,1,6,4,5,2,4,10,3,3,4,9,1,6,6,4,1,2,4,7,6,3,1,4,7,4,9,3,6,1,4,5,8,4,2,6,3,3,6,5,2,5,2,4,4,4,6,7,7,6,5,3,9,11,3,7,2,11,5,10,29,4,2,5,4,7,5,7,3,9,7,3,5,8,6,8,5,7,2,7,12,1,5,5,5,3,5,5,7,8,3,2,5,8,5,6,8,5,1,10,6,5,4,10,10,4,3,5,8,3,10,8,5,8,9,9,12,12,7,9,9,5,11,7,6,6,6,8,4,3,7,4,4,1,3,1,6,4,5,3,3,2,2,9,4,6,2,7,7,7,11,3,9,7,7,8,7,14,5,5
